Park	State	Area	Year	Recreation Visitors
Acadia NP	Maine	74 sq. miles	1995	2845378
Acadia NP	Maine	74 sq. miles	1996	2704831
Acadia NP	Maine	74 sq. miles	1997	2760306
Acadia NP	Maine	74 sq. miles	1998	2594497
Acadia NP	Maine	74 sq. miles	1999	2602227
Acadia NP	Maine	74 sq. miles	2000	2469238
Acadia NP	Maine	74 sq. miles	2001	2516551
Acadia NP	Maine	74 sq. miles	2002	2558572
Acadia NP	Maine	74 sq. miles	2003	2431062
Acadia NP	Maine	74 sq. miles	2004	2207847
Acadia NP	Maine	74 sq. miles	2005	2051484
Acadia NP	Maine	74 sq. miles	2006	2083588
Acadia NP	Maine	74 sq. miles	2007	2202228
Acadia NP	Maine	74 sq. miles	2008	2075857
Acadia NP	Maine	74 sq. miles	2009	2227698
Acadia NP	Maine	74 sq. miles	2010	2504208
Acadia NP	Maine	74 sq. miles	2011	2374645
Acadia NP	Maine	74 sq. miles	2012	2431052
Acadia NP	Maine	74 sq. miles	2013	2254922
Acadia NP	Maine	74 sq. miles	2014	2563129
Glacier NP	Montana	1583 sq. miles	1995	1839518
Glacier NP	Montana	1583 sq. miles	1996	1720805
Glacier NP	Montana	1583 sq. miles	1997	1708856
Glacier NP	Montana	1583 sq. miles	1998	1830944
Glacier NP	Montana	1583 sq. miles	1999	1684604
Glacier NP	Montana	1583 sq. miles	2000	1728693
Glacier NP	Montana	1583 sq. miles	2001	1680614
Glacier NP	Montana	1583 sq. miles	2002	1905689
Glacier NP	Montana	1583 sq. miles	2003	1664046
Glacier NP	Montana	1583 sq. miles	2004	2033933
Glacier NP	Montana	1583 sq. miles	2005	1925101
Glacier NP	Montana	1583 sq. miles	2006	1964399
Glacier NP	Montana	1583 sq. miles	2007	2083329
Glacier NP	Montana	1583 sq. miles	2008	1808027
Glacier NP	Montana	1583 sq. miles	2009	2031348
Glacier NP	Montana	1583 sq. miles	2010	2200048
Glacier NP	Montana	1583 sq. miles	2011	1853564
Glacier NP	Montana	1583 sq. miles	2012	2162035
Glacier NP	Montana	1583 sq. miles	2013	2190374
Glacier NP	Montana	1583 sq. miles	2014	2338528
Grand Canyon NP	Arizona	1902 sq. miles	1995	4557645
Grand Canyon NP	Arizona	1902 sq. miles	1996	4537703
Grand Canyon NP	Arizona	1902 sq. miles	1997	4791668
Grand Canyon NP	Arizona	1902 sq. miles	1998	4239682
Grand Canyon NP	Arizona	1902 sq. miles	1999	4575124
Grand Canyon NP	Arizona	1902 sq. miles	2000	4460228
Grand Canyon NP	Arizona	1902 sq. miles	2001	4104809
Grand Canyon NP	Arizona	1902 sq. miles	2002	4001974
Grand Canyon NP	Arizona	1902 sq. miles	2003	4124900
Grand Canyon NP	Arizona	1902 sq. miles	2004	4326234
Grand Canyon NP	Arizona	1902 sq. miles	2005	4401522
Grand Canyon NP	Arizona	1902 sq. miles	2006	4279439
Grand Canyon NP	Arizona	1902 sq. miles	2007	4413668
Grand Canyon NP	Arizona	1902 sq. miles	2008	4425314
Grand Canyon NP	Arizona	1902 sq. miles	2009	4348068
Grand Canyon NP	Arizona	1902 sq. miles	2010	4388386
Grand Canyon NP	Arizona	1902 sq. miles	2011	4298178
Grand Canyon NP	Arizona	1902 sq. miles	2012	4421352
Grand Canyon NP	Arizona	1902 sq. miles	2013	4564840
Grand Canyon NP	Arizona	1902 sq. miles	2014	4756771
Grand Teton NP	Wyoming	480 sq. miles	1995	2731015
Grand Teton NP	Wyoming	480 sq. miles	1996	2733439
Grand Teton NP	Wyoming	480 sq. miles	1997	2658762
Grand Teton NP	Wyoming	480 sq. miles	1998	2757060
Grand Teton NP	Wyoming	480 sq. miles	1999	2680025
Grand Teton NP	Wyoming	480 sq. miles	2000	2590624
Grand Teton NP	Wyoming	480 sq. miles	2001	2535108
Grand Teton NP	Wyoming	480 sq. miles	2002	2612629
Grand Teton NP	Wyoming	480 sq. miles	2003	2355693
Grand Teton NP	Wyoming	480 sq. miles	2004	2360373
Grand Teton NP	Wyoming	480 sq. miles	2005	2463442
Grand Teton NP	Wyoming	480 sq. miles	2006	2406476
Grand Teton NP	Wyoming	480 sq. miles	2007	2588574
Grand Teton NP	Wyoming	480 sq. miles	2008	2485987
Grand Teton NP	Wyoming	480 sq. miles	2009	2580081
Grand Teton NP	Wyoming	480 sq. miles	2010	2669374
Grand Teton NP	Wyoming	480 sq. miles	2011	2587437
Grand Teton NP	Wyoming	480 sq. miles	2012	2705256
Grand Teton NP	Wyoming	480 sq. miles	2013	2688794
Grand Teton NP	Wyoming	480 sq. miles	2014	2791392
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	1995	9080420
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	1996	9265667
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	1997	9965075
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	1998	9989395
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	1999	10283598
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2000	10175812
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2001	9197697
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2002	9316420
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2003	9366845
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2004	9167046
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2005	9192477
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2006	9289215
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2007	9372253
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2008	9044010
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2009	9491437
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2010	9463538
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2011	9008830
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2012	9685829
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2013	9354695
Great Smoky Mountains NP	North Carolina, Tennessee	816 sq. miles	2014	10099276
Olympic NP	Washington	1442 sq. miles	1995	3658615
Olympic NP	Washington	1442 sq. miles	1996	3348723
Olympic NP	Washington	1442 sq. miles	1997	3846709
Olympic NP	Washington	1442 sq. miles	1998	3577007
Olympic NP	Washington	1442 sq. miles	1999	3364266
Olympic NP	Washington	1442 sq. miles	2000	3327722
Olympic NP	Washington	1442 sq. miles	2001	3416069
Olympic NP	Washington	1442 sq. miles	2002	3691310
Olympic NP	Washington	1442 sq. miles	2003	3225327
Olympic NP	Washington	1442 sq. miles	2004	3073722
Olympic NP	Washington	1442 sq. miles	2005	3142774
Olympic NP	Washington	1442 sq. miles	2006	2749197
Olympic NP	Washington	1442 sq. miles	2007	2988686
Olympic NP	Washington	1442 sq. miles	2008	3081451
Olympic NP	Washington	1442 sq. miles	2009	3276459
Olympic NP	Washington	1442 sq. miles	2010	2844563
Olympic NP	Washington	1442 sq. miles	2011	2966502
Olympic NP	Washington	1442 sq. miles	2012	2824908
Olympic NP	Washington	1442 sq. miles	2013	3085340
Olympic NP	Washington	1442 sq. miles	2014	3243872
Rocky Mountain NP	Colorado	415 sq. miles	1995	2878169
Rocky Mountain NP	Colorado	415 sq. miles	1996	2923755
Rocky Mountain NP	Colorado	415 sq. miles	1997	2965354
Rocky Mountain NP	Colorado	415 sq. miles	1998	3035422
Rocky Mountain NP	Colorado	415 sq. miles	1999	3186323
Rocky Mountain NP	Colorado	415 sq. miles	2000	3185392
Rocky Mountain NP	Colorado	415 sq. miles	2001	3139685
Rocky Mountain NP	Colorado	415 sq. miles	2002	2988475
Rocky Mountain NP	Colorado	415 sq. miles	2003	3067256
Rocky Mountain NP	Colorado	415 sq. miles	2004	2781899
Rocky Mountain NP	Colorado	415 sq. miles	2005	2798368
Rocky Mountain NP	Colorado	415 sq. miles	2006	2743676
Rocky Mountain NP	Colorado	415 sq. miles	2007	2895383
Rocky Mountain NP	Colorado	415 sq. miles	2008	2757390
Rocky Mountain NP	Colorado	415 sq. miles	2009	2822325
Rocky Mountain NP	Colorado	415 sq. miles	2010	2955821
Rocky Mountain NP	Colorado	415 sq. miles	2011	3176941
Rocky Mountain NP	Colorado	415 sq. miles	2012	3229617
Rocky Mountain NP	Colorado	415 sq. miles	2013	2991141
Rocky Mountain NP	Colorado	415 sq. miles	2014	3434751
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	1995	3125285
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	1996	3012171
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	1997	2889513
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	1998	3120830
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	1999	3131381
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2000	2838233
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2001	2758526
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2002	2973677
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2003	3019375
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2004	2868317
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2005	2835651
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2006	2870295
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2007	3151343
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2008	3066580
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2009	3295187
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2010	3640185
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2011	3394326
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2012	3447729
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2013	3188030
Yellowstone NP	Idaho, Montana, Wyoming	3468 sq. miles	2014	3513484
Yosemite NP	California	1169 sq. miles	1995	3958406
Yosemite NP	California	1169 sq. miles	1996	4046207
Yosemite NP	California	1169 sq. miles	1997	3669970
Yosemite NP	California	1169 sq. miles	1998	3657132
Yosemite NP	California	1169 sq. miles	1999	3493607
Yosemite NP	California	1169 sq. miles	2000	3400903
Yosemite NP	California	1169 sq. miles	2001	3368731
Yosemite NP	California	1169 sq. miles	2002	3361867
Yosemite NP	California	1169 sq. miles	2003	3378664
Yosemite NP	California	1169 sq. miles	2004	3280911
Yosemite NP	California	1169 sq. miles	2005	3304144
Yosemite NP	California	1169 sq. miles	2006	3242644
Yosemite NP	California	1169 sq. miles	2007	3503428
Yosemite NP	California	1169 sq. miles	2008	3431514
Yosemite NP	California	1169 sq. miles	2009	3737472
Yosemite NP	California	1169 sq. miles	2010	3901408
Yosemite NP	California	1169 sq. miles	2011	3951393
Yosemite NP	California	1169 sq. miles	2012	3853404
Yosemite NP	California	1169 sq. miles	2013	3691191
Yosemite NP	California	1169 sq. miles	2014	3882642
Zion NP	Utah	147 sq. miles	1995	2430162
Zion NP	Utah	147 sq. miles	1996	2498001
Zion NP	Utah	147 sq. miles	1997	2445534
Zion NP	Utah	147 sq. miles	1998	2370048
Zion NP	Utah	147 sq. miles	1999	2449664
Zion NP	Utah	147 sq. miles	2000	2432348
Zion NP	Utah	147 sq. miles	2001	2217779
Zion NP	Utah	147 sq. miles	2002	2592545
Zion NP	Utah	147 sq. miles	2003	2458792
Zion NP	Utah	147 sq. miles	2004	2677342
Zion NP	Utah	147 sq. miles	2005	2586665
Zion NP	Utah	147 sq. miles	2006	2567350
Zion NP	Utah	147 sq. miles	2007	2657281
Zion NP	Utah	147 sq. miles	2008	2690154
Zion NP	Utah	147 sq. miles	2009	2735402
Zion NP	Utah	147 sq. miles	2010	2665972
Zion NP	Utah	147 sq. miles	2011	2825505
Zion NP	Utah	147 sq. miles	2012	2973607
Zion NP	Utah	147 sq. miles	2013	2807387
Zion NP	Utah	147 sq. miles	2014	3189696
